freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,B,BE	8.27 	11.61 	11.31 	13.12 	18.09 	16.37 	15.03 	11.26 	12.12 	10.29 e	11.22 e
A,ENV,MIO_EUR,B,BG	25.01 	21.15 	19.85 	17.7 	18.1 	18.68 	16.12 	20.06 	23.08 	24.79 	22.1 
A,ENV,MIO_EUR,B,CH	11.11 	11.92 	15.19 	16.78 	16.46 	20.79 	20.83 	20.44 	21.29 	22.52 	23.25 p
A,ENV,MIO_EUR,B,CY	4.4 	3.61 	3.71 	4.63 	5.67 	7.01 	6.42 	5.76 	7.59 	7.08 	7.3 
A,ENV,MIO_EUR,B,CZ	23.42 	21.23 	22.36 	23.28 	22.24 	22.45 	65.71 	25.36 	86.61 	57.15 	48.06 
A,ENV,MIO_EUR,B,DE	189.19 	187.69 	199.02 	102.89 	111.67 	112.97 	374.38 be	366.18 e	389.6 e	234.78 e	271.51 bep
A,ENV,MIO_EUR,B,DK	12.49 	14.98 	17.09 	16.87 	16.61 	17.44 	28.15 	24.69 	33.02 	38.98 p	28 p
A,ENV,MIO_EUR,B,EE	15.74 	18.8 	24.22 	26.48 	26.99 	28.19 	22.74 	16.18 	12.19 	12.18 	11.76 
A,ENV,MIO_EUR,B,EL	20.26 	21.48 	19.99 	17.68 	17.12 	16.69 	16.17 	10.36 	14.9 	15.59 	16.04 
A,ENV,MIO_EUR,B,ES	116.84 	115.74 	121.52 	120.25 	108.05 	101.98 	102.6 	96.56 	102.38 	98.74 	110.61 
A,ENV,MIO_EUR,B,EU27_2020	1217.35 	1276.91 	: @C	1280.03 	: @C	: @C	1624.39 	1536.52 	1840.38 	1515.4 	1605.88 
A,ENV,MIO_EUR,B,FI	37.56 	19.53 	40.21 b	18.66 b	12.1 	12.22 	11.4 	10.97 	18.55 	39.25 	30.16 
A,ENV,MIO_EUR,B,FR	104.46 e	97.16 e	108.6 e	109 e	155.79 e	163.56 e	155.48 e	152 e	169.63 e	182.16 p	172.55 p
A,ENV,MIO_EUR,B,HR	7.93 	8.4 	8.75 	9.21 	9.94 	10.95 	11.22 	10.33 	10.58 	10.46 	11.79 
A,ENV,MIO_EUR,B,HU	4.37 	6.48 	7.01 	6.62 	16.74 	10.82 	11.1 	10.86 	9.82 	8 	8.78 
A,ENV,MIO_EUR,B,IE	11.8 	12.27 	8.24 	12.1 	10.65 	9.74 	8.71 	5.1 	12.43 	4.08 	3.54 
A,ENV,MIO_EUR,B,IS	0.23 	0.29 	0.33 	0.46 	0.63 	0.64 	0.76 	: 	: 	: 	: 
A,ENV,MIO_EUR,B,IT	311.67 	364.58 	362.82 	352.41 	344.55 	373.62 	355.76 	331.52 	403.06 	237.22 	305.74 p
A,ENV,MIO_EUR,B,LT	1.27 	1.54 	: @C	1.68 	: @C	: @C	2.25 	2.87 	2.93 	2.8 	3.05 
A,ENV,MIO_EUR,B,LU	0.79 	1.06 	1.82 	1.5 	1.76 	1.99 	1.99 	2.02 	2.32 	0.36 	0.34 
A,ENV,MIO_EUR,B,LV	8.68 	6.89 	5.23 	8.48 	6.56 	7.05 	8.32 	9.88 	12.45 	12.01 	9.65 
A,ENV,MIO_EUR,B,MK	: 	: 	: 	: 	: 	: 	5.11 	6.11 	6.5 	5.41 	: 
A,ENV,MIO_EUR,B,MT	0.28 	0.32 	0.34 	0.36 	0.27 	0.21 	0.25 	0.27 	0.26 	0.24 	0.27 
A,ENV,MIO_EUR,B,NL	26 	28 	49 	45 	30 	30 	36 	38 	39 	67 	55 p
A,ENV,MIO_EUR,B,NO	680.95 	706.45 	710.76 	676.92 	640.72 	716.85 	772 	725.56 	986.1 	1475.56 	1450.27 
A,ENV,MIO_EUR,B,PL	85.07 	97.61 	102.22 	81.27 	86.48 	81.51 	61.05 	76.83 	127.15 	120.25 	188.16 
A,ENV,MIO_EUR,B,PT	21.82 	22.27 	25.5 	28.4 	31.19 	36.33 	36.91 	38.06 	39.15 	28.69 	33.5 
A,ENV,MIO_EUR,B,RO	60.5 	70.19 	60.08 	76.54 	75.35 	60.43 	75.14 	57.57 	61.77 	84.82 	52.68 
A,ENV,MIO_EUR,B,RS	31.23 	20.5 	17.46 	19.95 	25.84 	30.41 	36.98 	27.39 	33.15 	36.76 	38.66 
A,ENV,MIO_EUR,B,SE	55.01 	55.53 	79.71 	120.28 	124.64 	126.86 	121.84 	146.08 	170.65 	159.09 	143.02 
A,ENV,MIO_EUR,B,SI	1.43 	1.59 	2.15 	2.18 	2.29 	2.46 	2.61 	2.68 	3 	3.05 	3.33 
A,ENV,MIO_EUR,B,SK	6.43 	9.06 	7.72 	7.65 	5.24 	9.93 	14.94 	14.62 	12.73 	13.09 p	17.02 ep
A,ENV,MIO_EUR,B,TR	386.23 	340.04 	361.79 	362.17 	331.85 	213.19 	223.5 	212.56 	100.07 	121.96 	180.69 
A,ENV,MIO_EUR,C,AT	619.81 	633.34 	703.25 	633.43 	682.98 	722.39 	849.38 	779.73 	914.06 	770.03 	672.53 
A,ENV,MIO_EUR,C,BE	923.13 	837.07 	856.91 	1083.94 	1254.61 	1231.84 	1238.21 	1050.31 	1125.43 	987.4 e	1023.4 e
